UID,PID,PTM,PEN,DESC,CAT,PEY,ACT
1058,530006,JAC,EB-1300,False Start,1,5,A
1059,530018,CHI,AJ-0430,Offensive Pass Interference,2,10,A
1060,530033,JAC,CB-2400,Offensive Holding,2,10,A
1061,530043,CHI,GC-0300,Offensive Holding,2,10,A
1062,530052,CHI,SM-2300,Offensive Holding,2,10,A
1063,530062,JAC,XX-0000,Roughing the Passer,6,15,A
1064,530068,CHI,GC-0300,False Start,1,5,A
1065,530069,CHI,GC-0300,False Start,1,5,A
1066,530073,JAC,EM-1300,Offensive Holding,2,10,A
1067,530076,JAC,GJ-1100,Offensive Holding,2,6,A
1068,530077,JAC,UN-0100,False Start,1,3,A
1069,530081,CHI,SM-2300,Offensive Holding,2,10,A
1070,530088,CHI,KD-0400,False Start,1,5,A
1071,530099,CHI,DH-2700,Face Mask,6,5,A
1072,530111,CHI,II-0100,Defensive Offside,4,5,A
1073,530129,CHI,MT-1200,Defensive Offside,4,5,A
1074,530132,CHI,CW-3800,Defensive Offside,4,5,A
1075,530154,SEA,BG-0500,Offensive Holding,2,10,A
1076,530170,SEA,BG-0500,Unnecessary Roughness,6,15,A
1077,530187,SEA,RO-0400,Offensive Holding,2,10,A
1078,530197,SEA,CC-2600,Roughing the Passer,6,15,A
1079,530213,CAR,JS-1800,Offensive Holding,2,10,A
1080,530223,CAR,TD-0700,Illegal Contact,5,0,O
1081,530223,SEA,PM-0700,Offensive Holding,2,0,O
1082,530227,SEA,BB-3400,Defensive Holding,5,5,A
1083,530228,CAR,SS-2100,Offensive Holding,2,10,A
1084,530236,SEA,BO-0100,Offensive Holding,2,10,A
1085,530257,SEA,MU-0400,Ineligible Downfield Pass,3,0,D
1086,530266,CAR,BL-0100,False Start,1,5,A
1087,530272,SEA,JC-1000,False Start,1,0,A
1088,530287,SF,MI-0200,Offensive Holding,2,10,A
1089,530289,BUF,JB-8800,Offensive Holding,2,10,A
1090,530308,SF,JS-5700,False Start,1,5,A
1091,530310,SF,FG-0200,Chop Block,7,15,A
1092,530325,BUF,AC-0500,False Start,1,5,A
1093,530328,SF,MI-0200,False Start,1,5,A
1094,530341,SF,DW-0500,Tripping,7,3,A
1095,530346,BUF,KW-1600,Neutral Zone,4,5,A
1096,530367,SF,FG-0200,False Start,1,5,A
1097,530369,SF,XX-0000,Offensive Holding,2,10,A
1098,530384,BUF,CK-0300,Encroachment,4,5,A
1099,530400,BUF,CM-2000,Illegal Motion,3,0,O
1100,530400,SF,CS-3500,Offensive Holding,2,0,O
1101,530408,BUF,MA-0800,Neutral Zone,4,5,A
1102,530444,DEN,DT-1950,Running Into the Kicker,6,0,D
1103,530450,DEN,XX-0000,Illegal Formation,3,0,D
1104,530475,NE,DM-1300,Defensive Pass Interference,5,19,A
1105,530489,NE,LM-0200,False Start,1,5,A
1106,530534,DEN,XX-0000,12 On-field,3,5,A
1107,530539,NE,RW-1600,Offensive Holding,2,10,A
1108,530545,DEN,XX-0000,Encroachment,4,5,A
1109,530549,DEN,ED-1000,Defensive Offside,4,0,A
1110,530555,DEN,JM-2000,Defensive Pass Interference,5,11,A
1111,530556,NE,NS-0500,False Start,1,5,A
1112,530573,NE,RG-2200,Offensive Pass Interference,2,10,A
1113,530580,NE,NE-0250,Offensive Holding,2,10,A
1114,530627,NO,DH-2400,False Start,1,5,A
1115,530638,NO,MJ-0600,Unsportsmanlike Conduct,6,15,A
1116,530651,SD,RM-3100,Offensive Holding,2,6,A
1117,530657,NO,MW-3300,Offensive Holding,2,9,A
1118,530665,SD,MF-0800,False Start,1,5,A
1119,530667,NO,JG-3600,Defensive Pass Interference,5,25,A
1120,530686,NO,WS-0800,Roughing the Passer,6,15,A
1121,530722,NO,BG-2200,False Start,1,5,A
1122,530723,NO,ZS-0200,False Start,1,5,A
1123,530727,SD,PR-0300,Delay of Game,3,5,A
1124,530740,SD,MI-0150,Roughing the Passer,6,15,A
1125,530753,NO,JE-1000,Offensive Holding,2,10,A
1126,530756,SD,XX-0000,12 On-field,3,5,A
1127,530762,SD,AC-1000,Defensive Pass Interference,5,0,D
1128,530774,NO,DT-0800,False Start,1,5,A
1129,530783,SD,JC-3000,Offensive Holding,2,0,D
1130,530784,SD,AG-0500,Offensive Pass Interference,2,10,A
1131,530785,SD,NH-0200,Offensive Holding,2,10,A
1132,530786,NO,MW-3300,Illegal Use of Hands,5,5,A
1133,530808,NYJ,DF-0600,False Start,1,5,A
1134,530813,HOU,MS-0200,Delay of Game,3,5,A
1135,530823,HOU,JJ-5000,Defensive Pass Interference,5,0,D
1136,530828,HOU,SK-0200,Illegal Block Above the Waist,7,4,A
1137,530828,HOU,XX-0000,Low Block,7,0,D
1138,530841,NYJ,IT-0200,Illegal Touch Kick,3,5,A
1139,530848,HOU,BB-2600,Personal Foul,6,15,A
1140,530860,HOU,JC-1600,Offensive Holding,2,10,A
1141,530882,NYJ,VD-0300,False Start,1,5,A
1142,530885,HOU,DP-1950,Illegal Block Above the Waist,7,6,A
1143,530914,NYJ,JH-4000,False Start,1,5,A
1144,530922,HOU,CM-3600,Ineligible Downfield Pass,3,5,A
1145,530934,NYJ,XX-0000,12 On-field,3,5,A
1146,530950,HOU,BM-0800,Illegal Motion,3,5,A
1147,530958,PIT,IT-0100,Defensive Pass Interference,5,25,A
1148,530975,PIT,DV-0100,Offensive Holding,2,10,A
1149,530981,PIT,IT-0100,Defensive Pass Interference,5,0,D
1150,530984,TEN,LH-0700,False Start,1,5,A
1151,531002,TEN,DS-4400,Offensive Holding,2,10,A
1152,531002,TEN,CS-3900,Offensive Holding,2,0,D
1153,531004,TEN,KW-2550,False Start,1,5,A
1154,531005,TEN,CS-3900,Illegal Formation,3,0,D
1155,531044,TEN,AA-1900,Unnecessary Roughness,6,15,A
1156,531075,TEN,RM-5100,Defensive Pass Interference,5,10,A
1157,531101,PIT,IT-0100,Defensive Holding,5,5,A
1158,531106,PIT,DV-0100,Offensive Holding,2,10,A
1159,531111,TEN,DM-3600,Defensive Offside,4,0,D
1160,531150,CLE,KM-0100,Offensive Holding,2,10,A
1161,531156,CLE,JT-1600,False Start,1,5,A
1162,531161,CIN,AD-0100,Illegal Shift,3,5,A
1163,531165,CIN,AW-1100,Offensive Holding,2,10,A
1164,531169,CLE,AM-0100,Unsportsmanlike Conduct,6,10,A
1165,531176,CIN,CB-2000,False Start,1,5,A
1166,531179,CIN,XX-0000,Illegal Substitution,3,5,A
1167,531183,CLE,RV-0100,Ineligible Downfield Kick,3,5,A
1168,531186,CLE,UY-0100,Defensive Holding,5,0,D
1169,531212,CIN,AH-1900,Illegal Block Above the Waist,7,10,A
1170,531216,CIN,AD-0100,Delay of Game,3,5,A
1171,531226,CIN,CP-0800,Offensive Holding,2,0,D
1172,531252,CIN,AG-1500,Offensive Pass Interference,2,10,A
1173,531284,CLE,XX-0000,Illegal Substitution,3,5,A
1174,531303,KC,BS-1900,Offensive Holding,2,10,A
1175,531308,KC,TH-0200,Illegal Block Above the Waist,7,10,A
1176,531323,TB,DD-2300,Illegal Use of Hands,2,0,D
1177,531324,KC,EJ-1000,Offensive Holding,2,7,A
1178,531326,KC,EW-1500,Offensive Holding,2,4,A
1179,531329,KC,JB-6500,False Start,1,4,A
1180,531330,TB,QB-0100,Neutral Zone,4,5,A
1181,531350,TB,XX-0000,Illegal Wedge,8,6,A
1182,531352,TB,JZ-0300,Offensive Holding,2,6,A
1183,531355,KC,BF-0800,Defensive Holding,5,5,A
1184,531364,TB,MB-1900,Neutral Zone,4,5,A
1185,531394,TB,JF-3100,False Start,1,1,A
1186,531425,TB,EL-0600,Illegal Block Above the Waist,7,10,A
1187,531429,KC,JB-2400,Unnecessary Roughness,6,15,A
1188,531480,STL,JH-6000,Illegal Block Above the Waist,7,10,A
1189,531488,MIA,RI-0100,Offensive Holding,2,7,A
1190,531489,STL,KH-1100,Defensive Offside,4,5,A
1191,531491,MIA,JL-2500,Illegal Use of Hands,2,0,D
1192,531492,MIA,JL-2500,Offensive Holding,2,8,A
1193,531493,MIA,RI-0100,Unnecessary Roughness,6,10,A
1194,531500,STL,QO-0100,Illegal Use of Hands,2,10,A
1195,531509,STL,KH-1100,Defensive Offside,4,5,A
1196,531512,STL,CD-0200,Illegal Use of Hands,5,5,A
1197,531522,STL,HD-0100,False Start,1,5,A
1198,531526,STL,MM-5700,Offensive Holding,2,10,A
1199,531529,STL,QO-0100,Illegal Use of Hands,2,10,A
1200,531542,STL,BF-0600,Defensive Pass Interference,5,11,A
1201,531544,MIA,JJ-2100,False Start,1,5,A
1202,531571,STL,CL-1400,Roughing the Passer,6,15,A
1203,531599,MIA,JT-3600,Illegal Use of Hands,2,10,A
1204,531600,STL,JH-6000,Offensive Holding,2,3,A
1205,531617,PHI,DB-1400,False Start,1,5,A
1206,531627,DET,NF-0100,Encroachment,4,5,A
1207,531633,DET,CJ-1100,False Start,1,5,A
1208,531634,DET,DR-0300,False Start,1,5,A
1209,531638,PHI,CM-0300,Defensive Holding,5,5,A
1210,531640,DET,GC-0400,Unnecessary Roughness,6,15,A
1211,531640,DET,CJ-1100,False Start,1,0,D
1212,531645,DET,SH-1000,Roughing the Passer,6,15,A
1213,531649,DET,WY-0300,Encroachment,4,5,A
1214,531652,PHI,DR-2800,Defensive Holding,5,0,D
1215,531653,PHI,CT-1300,Encroachment,4,5,A
1216,531666,DET,BB-1750,Defensive Pass Interference,5,6,A
1217,531669,DET,NF-0100,Encroachment,4,5,A
1218,531673,DET,JB-0400,False Start,1,5,A
1219,531675,PHI,FC-0400,Illegal Use of Hands,5,5,A
1220,531675,PHI,DR-3700,Defensive Holding,5,0,D
1221,531687,DET,JL-0100,Defensive Pass Interference,5,26,A
1222,531706,DET,KV-0100,Neutral Zone,4,5,A
1223,531727,DET,LJ-0200,Defensive Offside,4,5,A
1224,531733,PHI,BC-0700,Offensive Pass Interference,2,10,A
1225,531755,PHI,JB-0100,Defensive Offside,4,5,A
1226,531757,DET,CJ-1100,Offensive Pass Interference,2,10,A
1227,531761,PHI,FC-0400,Neutral Zone,4,0,A
1228,531762,PHI,FC-0400,Disqualification,6,20,A
