PID,PUNTER,PGRO,PNET,PTB,PR,PRY,PFC
530401,SP-1620,56,45,N,TG-0900,11,N
530415,SP-1620,50,42,N,TG-0900,8,N
530444,ZM-0100,42,42,N,JL-1200,0,Y
530451,BC-2000,49,44,N,WW-0200,5,N
530503,BC-2000,37,37,N,XX-0000,0,N
530526,ZM-0100,50,50,N,JL-1200,0,Y
530531,BC-2000,51,31,Y,XX-0000,0,N
530580,ZM-0100,37,37,N,XX-0000,0,N
530623,MS-0600,47,47,N,DS-3300,0,Y
530631,TM-3300,60,55,N,ER-0500,5,N
530657,MS-0600,41,41,N,DS-3300,0,N
530661,TM-3300,50,50,N,XX-0000,0,N
530694,TM-3300,61,50,N,ER-0500,11,N
530725,TM-3300,36,36,N,XX-0000,0,N
530735,MS-0600,33,33,N,DS-3300,0,Y
530751,MS-0600,61,59,N,DS-3300,2,N
530810,RM-0400,42,42,N,XX-0000,0,N
530815,DJ-2800,38,38,N,JK-1000,0,Y
530819,RM-0400,34,34,N,XX-0000,0,N
530833,DJ-2800,30,30,N,XX-0000,0,N
530841,RM-0400,45,45,N,XX-0000,0,N
530856,RM-0400,61,41,Y,XX-0000,0,N
530866,DJ-2800,39,39,N,XX-0000,0,N
530885,RM-0400,58,55,N,TH-1900,3,N
530926,DJ-2800,48,48,N,JK-1000,0,Y
530933,RM-0400,25,25,N,TH-1900,0,Y
530939,DJ-2800,43,43,N,JK-1000,0,Y
530950,DJ-2800,43,43,N,XX-0000,0,N
530975,BK-0700,48,42,N,AB-3500,6,N
530992,DB-6350,-22,-22,N,XX-0000,0,N
531000,DB-6350,41,41,N,DR-1200,0,Y
531006,BK-0700,61,58,N,AB-3500,3,N
531015,DB-6350,46,37,N,DR-1200,9,N
531019,BK-0700,47,44,N,AB-3500,3,N
531023,DB-6350,36,36,N,DR-1200,0,Y
531030,BK-0700,58,51,N,CR-0250,7,N
531062,BK-0700,47,27,Y,XX-0000,0,N
531125,KH-2600,62,62,N,XX-0000,0,N
531146,RH-2500,38,38,N,XX-0000,0,N
531150,KH-2600,37,37,N,XX-0000,0,N
531168,KH-2600,65,45,Y,XX-0000,0,N
531172,RH-2500,57,51,N,BT-0300,6,N
531178,KH-2600,57,37,Y,XX-0000,0,N
531183,RH-2500,46,14,N,BT-0300,32,N
531192,RH-2500,47,47,N,XX-0000,0,N
531204,RH-2500,35,35,N,XX-0000,0,N
531208,KH-2600,44,44,N,XX-0000,0,N
531212,RH-2500,51,34,N,BT-0300,17,N
531218,KH-2600,45,-15,N,JC-5600,60,N
531235,KH-2600,44,44,N,XX-0000,0,N
531280,RH-2500,47,27,N,BT-0300,20,N
531291,RH-2500,33,33,N,XX-0000,0,N
531303,DC-3200,21,21,N,XX-0000,0,N
531324,MK-1200,52,51,N,JA-2000,1,N
531331,DC-3200,62,53,N,RP-0300,9,N
531368,DC-3200,38,38,N,XX-0000,0,N
531393,DC-3200,50,50,N,XX-0000,0,N
531400,MK-1200,54,44,N,JA-2000,10,N
531407,DC-3200,45,37,N,RP-0300,8,N
531425,DC-3200,60,49,N,RP-0300,11,N
531467,BF-0300,53,46,N,JJ-1550,7,N
531480,BF-0300,58,44,N,JJ-1550,14,N
531487,JH-3230,36,36,N,DB-1800,0,Y
531494,BF-0300,63,63,N,XX-0000,0,N
531557,JH-3230,56,36,Y,XX-0000,0,N
531561,BF-0300,54,49,N,JJ-1550,5,N
531569,JH-3230,43,43,N,XX-0000,0,N
531575,BF-0300,44,43,N,JJ-1550,1,N
531600,BF-0300,51,53,N,JJ-1550,-2,N
531614,NH-0700,38,38,N,MG-0700,0,Y
531619,MM-1900,47,-1,N,SL-0900,48,N
531629,MM-1900,62,42,Y,XX-0000,0,N
531658,MM-1900,64,54,N,SL-0900,10,N
531663,NH-0700,42,42,N,MG-0700,0,Y
531679,NH-0700,48,44,N,MG-0700,4,N
531695,NH-0700,50,53,N,DJ-0200,-3,N
531724,NH-0700,56,45,N,MG-0700,11,N
531741,NH-0700,39,39,N,MG-0700,0,Y
531774,NH-0700,26,26,N,XX-0000,0,N
531793,MM-1900,53,50,N,SL-0900,3,N
531812,MM-1900,57,47,N,SL-0900,10,N
531839,SL-0400,40,20,Y,XX-0000,0,N
531888,MB-3000,55,55,N,XX-0000,0,N
531894,SL-0400,55,55,N,XX-0000,0,N
531898,MB-3000,54,55,N,DM-3100,-1,N
531906,SL-0400,57,37,Y,XX-0000,0,N
531932,SL-0400,38,38,N,DF-1700,0,Y
531936,MB-3000,57,52,N,PA-0100,5,N
531945,SL-0400,51,31,Y,XX-0000,0,N
531951,MB-3000,45,45,N,PA-0100,0,Y
531987,PM-0300,37,37,N,XX-0000,0,N
531991,RM-0400,50,50,N,XX-0000,0,N
532061,RM-0400,52,52,N,TH-1850,0,Y
532069,PM-0300,55,35,Y,XX-0000,0,N
532073,RM-0400,49,49,N,TH-1850,0,Y
532082,PM-0300,39,39,N,JK-1000,0,Y
532110,RM-0400,57,37,Y,XX-0000,0,N
