PID,KICKER,KGRO,KNET,KTB,KR,KRY
537426,DB-0200,63,42,N,DW-4050,21
537446,LT-1100,70,43,N,LD-0850,27
537461,LT-1100,67,43,N,LD-0850,24
537486,MP-2100,65,45,Y,XX-0000,0
537516,MP-2100,65,45,Y,XX-0000,0
537529,TM-3300,65,45,Y,XX-0000,0
537550,MP-2100,65,45,Y,XX-0000,0
537568,TM-3300,70,58,N,OB-0150,12
537581,MP-2100,65,45,Y,XX-0000,0
537606,MP-2100,65,45,Y,XX-0000,0
537630,MP-2100,65,45,Y,XX-0000,0
537646,GH-0600,13,13,N,XX-0000,0
537653,JF-0900,71,40,N,TG-0900,31
537680,DA-0300,65,45,Y,XX-0000,0
537705,DA-0300,65,45,Y,XX-0000,0
537719,DA-0300,65,45,Y,XX-0000,0
537727,DA-0300,65,45,Y,XX-0000,0
537743,DA-0300,65,45,Y,XX-0000,0
537759,JF-0900,65,45,Y,XX-0000,0
