PID,FGXP,FKICKER,DIST,GOOD
530827,XP,NF-0300,20,Y
530847,XP,SG-1100,20,Y
530879,FG,SG-1100,27,Y
530899,FG,SG-1100,42,Y
530901,XP,NF-0300,20,Y
530910,FG,SG-1100,22,Y
530920,FG,NF-0300,21,Y
530962,FG,RB-2200,22,Y
530970,FG,SS-3100,29,Y
530977,XP,SS-3100,20,Y
530987,FG,RB-2200,38,Y
530995,XP,RB-2200,20,Y
531042,FG,RB-2200,47,Y
531054,FG,SS-3100,28,Y
531079,XP,SS-3100,20,Y
531091,FG,SS-3100,52,Y
531105,XP,RB-2200,20,Y
531115,FG,SS-3100,54,N
531120,FG,RB-2200,40,Y
531138,XP,MN-0800,20,Y
531158,XP,PD-0200,20,Y
531187,XP,MN-0800,20,Y
531222,FG,PD-0200,41,Y
531230,FG,PD-0200,38,Y
531246,XP,PD-0200,20,Y
531256,FG,MN-0800,44,Y
531264,XP,PD-0200,20,Y
531267,XP,PD-0200,20,Y
531275,XP,MN-0800,20,Y
531333,XP,CB-0700,20,Y
531349,FG,RS-3400,38,Y
531362,FG,CB-0700,55,N
531377,XP,CB-0700,20,Y
531387,XP,CB-0700,20,Y
531412,XP,RS-3400,20,Y
531420,FG,CB-0700,27,Y
531431,XP,CB-0700,20,Y
531446,XP,CB-0700,20,Y
531459,FG,GZ-2000,48,Y
531475,FG,GZ-2000,32,Y
531504,FG,GZ-2000,52,N
531512,XP,DC-0500,20,Y
531517,FG,DC-0500,42,Y
531533,FG,GZ-2000,37,N
531548,XP,DC-0500,20,Y
531609,FG,GZ-2000,66,N
531623,FG,JH-0900,46,Y
531643,FG,JH-0900,34,Y
531690,XP,AH-2600,20,Y
531719,FG,AH-2600,26,Y
531736,FG,AH-2600,32,Y
531750,FG,AH-2600,49,Y
531762,XP,JH-0900,20,Y
531778,XP,AH-2600,20,Y
531788,XP,JH-0900,20,Y
531806,FG,JH-0900,19,Y
531818,FG,JH-0900,45,Y
531830,FG,MB-4600,43,N
531850,FG,SJ-0300,52,Y
531862,XP,MB-4600,20,Y
531874,FG,SJ-0300,22,Y
531882,XP,SJ-0300,20,Y
531915,FG,MB-4600,41,Y
531923,FG,MB-4600,20,Y
531958,XP,MB-4600,20,Y
531969,XP,SJ-0300,20,Y
531977,FG,MB-4600,55,Y
532000,FG,AV-0400,20,Y
532016,XP,NF-0300,20,Y
532026,XP,NF-0300,20,Y
532040,FG,AV-0400,50,Y
532054,XP,NF-0300,20,Y
532090,XP,NF-0300,20,Y
532100,FG,AV-0400,47,Y
532133,XP,NF-0300,20,Y
532155,FG,JT-3950,38,Y
532166,XP,DB-0200,20,Y
532184,FG,DB-0200,42,Y
532197,XP,JT-3950,20,Y
532220,XP,JT-3950,20,Y
532231,FG,DB-0200,43,Y
532233,XP,JT-3950,20,Y
532250,XP,DB-0200,20,Y
532275,FG,DB-0200,34,Y
532289,XP,JT-3950,20,Y
532318,FG,DB-0200,51,N
532325,FG,JF-0900,49,Y
532349,XP,RL-0900,20,Y
532380,XP,JF-0900,20,Y
532427,FG,JF-0900,49,Y
532434,XP,RL-0900,20,Y
532472,FG,JF-0900,61,Y
532481,FG,JF-0900,38,N
532497,FG,RL-0900,25,Y
532515,FG,SH-0400,34,Y
532523,XP,SG-0800,20,Y
532533,XP,SH-0400,20,Y
532552,XP,SG-0800,20,Y
532571,FG,SG-0800,25,Y
532595,FG,SG-0800,35,Y
532635,FG,SG-0800,35,Y
532642,XP,SH-0400,20,Y
532664,XP,SH-0400,20,Y
532684,FG,DA-0300,43,N
532700,FG,DA-0300,42,Y
532717,XP,LT-1100,20,Y
532731,FG,LT-1100,34,Y
532745,FG,LT-1100,40,N
532747,FG,DA-0300,52,N
532756,XP,LT-1100,20,Y
532765,FG,LT-1100,30,Y
532774,FG,LT-1100,22,Y
532819,FG,LT-1100,32,Y
532839,FG,BW-0350,20,Y
532852,FG,BW-0350,27,Y
532863,FG,BW-0350,27,Y
532877,FG,KF-0250,50,Y
532896,XP,KF-0250,20,Y
532900,XP,KF-0250,20,Y
532922,XP,KF-0250,20,Y
532935,FG,BW-0350,37,Y
532952,XP,KF-0250,20,Y
532984,XP,KF-0250,20,Y
533017,XP,MC-3000,20,Y
533047,XP,MC-3000,20,Y
533060,XP,SG-1100,20,Y
533070,XP,MC-3000,20,Y
533080,FG,SG-1100,51,Y
533111,XP,MC-3000,20,Y
533132,XP,SG-1100,20,Y
533137,XP,MC-3000,20,Y
533145,XP,MC-3000,20,Y
533164,XP,SG-1100,20,Y
533200,FG,NN-0200,32,Y
533204,XP,NN-0200,20,Y
533245,XP,NN-0200,20,Y
533262,XP,NN-0200,20,Y
533274,XP,MP-2100,20,Y
533287,XP,MP-2100,20,Y
533304,XP,MP-2100,20,Y
533316,XP,MP-2100,20,Y
533338,XP,MP-2100,20,Y
533370,FG,SH-0400,52,Y
533382,FG,DA-0300,38,Y
533391,FG,SH-0400,35,Y
533404,FG,SH-0400,51,N
533444,XP,DA-0300,20,Y
533470,FG,DA-0300,28,Y
533500,XP,RB-2200,20,Y
